Street Address,Zipcode,City,State,Price,Yearly Rent,Payback Ratio (in years),Bedrooms,Bathrooms,Living Area,Home Type,Home Status,Days On Zillow,Monthly Rent Per SqFt,Yearly Rent Per SqFt
995 Cherry Blossom Ln LOT 424,37040,Clarksville,TN,443700,0,0,5,5,2921,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
0 Elmwood Dr LOT 5&6,37040,Clarksville,TN,0,15384,0.0,0,0,0,LOT,FOR_SALE,-1,0.0,0.0
47 Cardinal Dr LOT 47,37043,Clarksville,TN,0,0,0,3,3,1454,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
1299 Lafayette Rd,37042,Clarksville,TN,0,20328,0.0,0,0,0,LOT,FOR_SALE,-1,0.0,0.0
104 Chestnut Dr LOT 11,37042,Clarksville,TN,289700,0,0,3,3,1475,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
53 Cherry Rd LOT 53,37042,Clarksville,TN,289500,0,0,3,2,1214,SINGLE_FAMILY,FOR_SALE,-1,0.0,0.0
3822 Vernon Creek Rd LOT 5,37052,Cunningham,TN,0,16740,0.0,0,0,0,LOT,FOR_SALE,-1,0.0,0.0
12 Proctor Dr,37043,Clarksville,TN,70200,20376,3.4452296819787986,2,1,832,SINGLE_FAMILY,FOR_SALE,-1,2.04,24.49
10 Proctor Dr,37043,Clarksville,TN,81000,20376,3.9752650176678443,2,1,772,SINGLE_FAMILY,FOR_SALE,-1,2.2,26.39
5 Proctor Dr,37043,Clarksville,TN,81500,20400,3.9950980392156863,2,1,616,SINGLE_FAMILY,FOR_SALE,-1,2.76,33.12
6 Proctor Dr,37043,Clarksville,TN,81000,19536,4.146191646191646,2,1,792,SINGLE_FAMILY,FOR_SALE,-1,2.06,24.67
18 Proctor Dr,37043,Clarksville,TN,103800,20400,5.088235294117647,2,1,689,SINGLE_FAMILY,FOR_SALE,-1,2.47,29.61
404 High St,37040,Clarksville,TN,85000,16512,5.1477713178294575,2,2,943,SINGLE_FAMILY,FOR_SALE,-1,1.46,17.51
22 Proctor Dr,37043,Clarksville,TN,128500,20400,6.299019607843137,3,1,816,SINGLE_FAMILY,FOR_SALE,-1,2.08,25.0
264 Denny Rd,37043,Clarksville,TN,138100,20784,6.6445342571208625,2,1,784,SINGLE_FAMILY,FOR_SALE,-1,2.21,26.51
758 Woodmont Blvd,37040,Clarksville,TN,106900,14256,7.4985970819304155,2,1,925,SINGLE_FAMILY,FOR_SALE,-1,1.28,15.41
715 Williams Ln,37040,Clarksville,TN,128900,14328,8.996370742601899,3,1,892,SINGLE_FAMILY,FOR_SALE,-1,1.34,16.06
422 Oriole Cir,37043,Clarksville,TN,212700,23028,9.236581552892131,3,2,1742,SINGLE_FAMILY,FOR_SALE,-1,1.1,13.22
2701 Wakefield Dr,37043,Clarksville,TN,332100,34824,9.536526533425224,5,5,3630,SINGLE_FAMILY,FOR_SALE,-1,0.8,9.59
130 Airport Rd,37042,Clarksville,TN,218300,20028,10.899740363491112,5,2,1716,SINGLE_FAMILY,FOR_SALE,-1,0.97,11.67
1014 Charlotte St,37040,Clarksville,TN,156300,14100,11.085106382978724,2,2,1000,SINGLE_FAMILY,FOR_SALE,-1,1.18,14.1
966 Swift Dr,37040,Clarksville,TN,187800,16728,11.226685796269727,3,2,1200,SINGLE_FAMILY,FOR_SALE,-1,1.16,13.94
2315 Canterbury Rd,37043,Clarksville,TN,305200,26568,11.487503763926528,3,3,2432,SINGLE_FAMILY,FOR_SALE,-1,0.91,10.92
825 Richardson St,37040,Clarksville,TN,215200,18600,11.56989247311828,3,2,1426,MULTI_FAMILY,FOR_SALE,-1,1.09,13.04
2183 Bauling Ct,37040,Clarksville,TN,277300,23928,11.58893346706787,4,3,1986,SINGLE_FAMILY,FOR_SALE,-1,1.0,12.05
577 Bridgette Dr,37042,Clarksville,TN,193800,16704,11.602011494252874,3,2,1050,SINGLE_FAMILY,FOR_SALE,-1,1.33,15.91
634 Ernest St,37040,Clarksville,TN,229900,19680,11.68191056910569,3,2,1364,SINGLE_FAMILY,FOR_SALE,-1,1.2,14.43
512 Ginkgo Dr,37042,Clarksville,TN,218500,18168,12.026640246587407,3,2,1416,SINGLE_FAMILY,FOR_SALE,-1,1.07,12.83
2105 Post Rd,37043,Clarksville,TN,307700,25548,12.043995616095193,3,2,2225,SINGLE_FAMILY,FOR_SALE,-1,0.96,11.48
1308 Cedar St,37040,Clarksville,TN,178700,14796,12.077588537442551,3,1,1126,SINGLE_FAMILY,FOR_SALE,-1,1.1,13.14
106 Cunningham Pl,37042,Clarksville,TN,210300,17400,12.086206896551724,3,3,1348,SINGLE_FAMILY,FOR_SALE,-1,1.08,12.91
516 Rosewood Dr,37043,Clarksville,TN,319200,26364,12.107419208010924,3,2,2300,SINGLE_FAMILY,FOR_SALE,-1,0.96,11.46
4651 Old Ashland City Rd S,37043,Clarksville,TN,296500,23928,12.391340688732866,3,2,1820,SINGLE_FAMILY,FOR_SALE,-1,1.1,13.15
3282 N Senseney Cir,37042,Clarksville,TN,253100,20412,12.399568881050362,3,2,1694,SINGLE_FAMILY,FOR_SALE,-1,1.0,12.05
329 Swan Lake Dr,37043,Clarksville,TN,297600,23928,12.437311935807422,4,2,2198,SINGLE_FAMILY,FOR_SALE,-1,0.91,10.89
404 Carriage Ct,37043,Clarksville,TN,956200,76704,12.46610346266166,4,5,5650,SINGLE_FAMILY,FOR_SALE,-1,1.13,13.58
128 Verisa Dr,37043,Clarksville,TN,373600,29952,12.473290598290598,3,3,2560,SINGLE_FAMILY,FOR_SALE,-1,0.97,11.7
1307 Givens Ln,37040,Clarksville,TN,209400,16740,12.508960573476703,3,2,1167,SINGLE_FAMILY,FOR_SALE,-1,1.2,14.34
469 Bamburg Dr,37040,Clarksville,TN,314800,25140,12.521877486077964,5,3,2510,SINGLE_FAMILY,FOR_SALE,-1,0.83,10.02
1283 Eagles View Dr,37040,Clarksville,TN,330700,26388,12.532211611338488,4,3,2340,SINGLE_FAMILY,FOR_SALE,-1,0.94,11.28
2151 Watertown Pl LOT 15,37043,Clarksville,TN,289600,23088,12.543312543312544,3,4,1937,SINGLE_FAMILY,FOR_SALE,-1,0.99,11.92
725 Princeton Cir,37042,Clarksville,TN,210400,16728,12.577714012434242,3,2,1125,SINGLE_FAMILY,FOR_SALE,-1,1.24,14.87
204 Yorktown Rd,37042,Clarksville,TN,227400,18000,12.633333333333333,3,2,1560,SINGLE_FAMILY,FOR_SALE,-1,0.96,11.54
1009 Hendricks Ct,37040,Clarksville,TN,303600,23940,12.68170426065163,4,2,2199,SINGLE_FAMILY,FOR_SALE,-1,0.91,10.89
919 Hedge Apple Dr,37040,Clarksville,TN,283500,22188,12.777176852352623,4,3,1940,SINGLE_FAMILY,FOR_SALE,-1,0.95,11.44
1307 Bluebonnet Dr,37042,Clarksville,TN,296700,23100,12.844155844155845,4,3,2079,SINGLE_FAMILY,FOR_SALE,-1,0.93,11.11
2714 Turner Ln,37040,Clarksville,TN,247800,19188,12.914321450906817,3,1,1252,SINGLE_FAMILY,FOR_SALE,-1,1.28,15.33
1816 Theresa Dr LOT 19,37043,Clarksville,TN,323200,25020,12.917665867306155,4,2,2208,SINGLE_FAMILY,FOR_SALE,-1,0.94,11.33
229 Wade Hampton Ln,37040,Clarksville,TN,324700,25044,12.965181280945536,3,2,1459,SINGLE_FAMILY,FOR_SALE,-1,1.43,17.17
1504 Osage Ct,37042,Clarksville,TN,344100,26388,13.040018190086403,4,3,2452,SINGLE_FAMILY,FOR_SALE,-1,0.9,10.76
729 Pollard Rd,37042,Clarksville,TN,299200,22896,13.067784765897974,4,3,2080,SINGLE_FAMILY,FOR_SALE,-1,0.92,11.01
3708 Kendra Ct S,37040,Clarksville,TN,305700,23388,13.070805541303232,3,3,2156,SINGLE_FAMILY,FOR_SALE,-1,0.9,10.85
4282 Highway 41a S,37043,Clarksville,TN,374200,28572,13.096738065238695,1,1,2880,SINGLE_FAMILY,FOR_SALE,-1,0.83,9.92
1005 Hickory Point Rd,37043,Clarksville,TN,677300,51564,13.13513303855403,4,3,3082,SINGLE_FAMILY,FOR_SALE,-1,1.39,16.73
405 Breckinridge Rd,37042,Clarksville,TN,280300,21288,13.167042465238632,4,2,2017,SINGLE_FAMILY,FOR_SALE,-1,0.88,10.55
1493 Coronado Dr,37042,Clarksville,TN,264700,20052,13.20067823658488,3,2,1268,SINGLE_FAMILY,FOR_SALE,-1,1.32,15.81
78 Clover Glenn Flt,37043,Clarksville,TN,317000,23988,13.214940803735201,3,3,1595,SINGLE_FAMILY,FOR_SALE,-1,1.25,15.04
529 Pollard Rd,37042,Clarksville,TN,235500,17796,13.233310856372219,3,2,1250,SINGLE_FAMILY,FOR_SALE,-1,1.19,14.24
460 Kinslow Ct,37040,Clarksville,TN,350500,26388,13.282552675458541,4,3,2322,SINGLE_FAMILY,FOR_SALE,-1,0.95,11.36
202 Jim Thorpe Dr,37042,Clarksville,TN,223300,16800,13.291666666666666,3,2,1146,SINGLE_FAMILY,FOR_SALE,-1,1.22,14.66
226 Al Oerter Dr,37042,Clarksville,TN,219000,16392,13.360175695461201,3,2,1150,SINGLE_FAMILY,FOR_SALE,-1,1.19,14.25
3436 E Henderson Way,37042,Clarksville,TN,303100,22644,13.38544426779721,3,3,1904,SINGLE_FAMILY,FOR_SALE,-1,0.99,11.89
