Street Address,Zipcode,City,State,Price,Yearly Rent,Payback Ratio (in years),Bedrooms,Bathrooms,Living Area,Home Type,Home Status,Days On Zillow,Monthly Rent Per SqFt,Yearly Rent Per SqFt
651 Wheeler Rd,37040,Clarksville,TN,480800,32796,14.660324429808513,4,3,2850,SINGLE_FAMILY,FOR_SALE,-1,0.96,11.51
416 Lake Pointe Dr,37043,Clarksville,TN,819900,55884,14.671462314794933,4,3,4360,SINGLE_FAMILY,FOR_SALE,-1,1.07,12.82
737 W Creek Dr LOT 124,37040,Clarksville,TN,256000,17400,14.71264367816092,3,2,1315,SINGLE_FAMILY,FOR_SALE,-1,1.1,13.23
1385 L Bumpus Rd,37040,Clarksville,TN,498000,33744,14.758179231863442,5,3,2389,SINGLE_FAMILY,FOR_SALE,-1,1.18,14.12
517 Jewel Dr,37042,Clarksville,TN,223500,15144,14.758320126782884,3,1,1150,SINGLE_FAMILY,FOR_SALE,-1,1.1,13.17
2481 Ellsworth Dr LOT 135,37043,Clarksville,TN,697700,47268,14.76051451298976,4,3,3127,SINGLE_FAMILY,FOR_SALE,-1,1.26,15.12
8079 Highway 41a,37032,Cedar Hill,TN,795000,53832,14.768167632634864,5,4,4192,SINGLE_FAMILY,FOR_SALE,-1,1.07,12.84
1107 Gunpoint Dr,37042,Clarksville,TN,265000,17928,14.781347612672914,3,2,1294,SINGLE_FAMILY,FOR_SALE,-1,1.15,13.85
3048 Carrie Taylor Cir,37043,Clarksville,TN,538300,36408,14.785212041309602,4,3,2657,SINGLE_FAMILY,FOR_SALE,-1,1.14,13.7
1322 Tannahill Way,37043,Clarksville,TN,489600,33096,14.793328498912254,3,3,2516,SINGLE_FAMILY,FOR_SALE,-1,1.1,13.15
2499 Old Timber Ct,37042,Clarksville,TN,481800,32556,14.79911537043863,5,4,3904,SINGLE_FAMILY,FOR_SALE,-1,0.69,8.34
2343 Davidson Graveyard Rd LOT 2,37043,Clarksville,TN,539100,36408,14.807185234014502,4,4,2200,SINGLE_FAMILY,FOR_SALE,-1,1.38,16.55
2733 Memorial Drive Ext,37043,Clarksville,TN,378300,25548,14.807421324565524,3,2,2205,SINGLE_FAMILY,FOR_SALE,-1,0.97,11.59
1150 Lafayette Rd,37042,Clarksville,TN,678700,45816,14.813602235027064,5,5,3500,SINGLE_FAMILY,FOR_SALE,-1,1.09,13.09
941 Kingsbury Dr APT C,37040,Clarksville,TN,209700,14136,14.83446519524618,2,2,1024,SINGLE_FAMILY,FOR_SALE,-1,1.15,13.8
3357 Melissa Ln,37042,Clarksville,TN,329700,22188,14.859383450513791,3,2,2032,SINGLE_FAMILY,FOR_SALE,-1,0.91,10.92
1149 Eagles Bluff Dr,37040,Clarksville,TN,355200,23892,14.866901054746359,4,3,2028,SINGLE_FAMILY,FOR_SALE,-1,0.98,11.78
3485 Sikorsky Ln,37042,Clarksville,TN,393300,26388,14.90450204638472,5,3,2759,SINGLE_FAMILY,FOR_SALE,-1,0.8,9.56
3341 Melissa Ln,37042,Clarksville,TN,357800,23988,14.915791228947807,3,3,2284,SINGLE_FAMILY,FOR_SALE,-1,0.88,10.5
2809 Teakwood Dr,37040,Clarksville,TN,242200,16200,14.950617283950617,3,2,1173,SINGLE_FAMILY,FOR_SALE,-1,1.15,13.81
3122 Southpoint Dr,37043,Clarksville,TN,396000,26412,14.993184915947296,3,3,2540,SINGLE_FAMILY,FOR_SALE,-1,0.87,10.4
1120 Reda Dr,37042,Clarksville,TN,743100,49500,15.012121212121212,4,6,3995,SINGLE_FAMILY,FOR_SALE,-1,1.03,12.39
2860 Sharpie Dr,37040,Clarksville,TN,333600,22188,15.035154137371553,4,3,2016,SINGLE_FAMILY,FOR_SALE,-1,0.92,11.01
755 N Woodson Rd,37043,Clarksville,TN,1046700,69588,15.041386445938954,4,4,3372,SINGLE_FAMILY,FOR_SALE,-1,1.72,20.64
1164 Eagles Bluff Dr,37040,Clarksville,TN,353200,23472,15.047716428084525,4,3,2000,SINGLE_FAMILY,FOR_SALE,-1,0.98,11.74
757 Leigh Ann Dr,37042,Clarksville,TN,277400,18420,15.05971769815418,3,2,1655,SINGLE_FAMILY,FOR_SALE,-1,0.93,11.13
1002 Willow Cir,37043,Clarksville,TN,507600,33636,15.090973956475205,3,3,2952,SINGLE_FAMILY,FOR_SALE,-1,0.95,11.39
62 Clover Glenn Flt,37043,Clarksville,TN,356900,23628,15.10496021669206,3,2,1892,SINGLE_FAMILY,FOR_SALE,-1,1.04,12.49
1149 Connemara Way,37040,Clarksville,TN,336400,22188,15.161348476654048,3,3,1943,SINGLE_FAMILY,FOR_SALE,-1,0.95,11.42
330 Broadmore Dr,37042,Clarksville,TN,295300,19476,15.162250975559664,3,3,1607,SINGLE_FAMILY,FOR_SALE,-1,1.01,12.12
3276 Twelve Oaks Blvd,37042,Clarksville,TN,333000,21732,15.323025952512424,3,3,1885,SINGLE_FAMILY,FOR_SALE,-1,0.96,11.53
462 Winding Bluff Way,37040,Clarksville,TN,378000,24600,15.365853658536585,4,3,2583,SINGLE_FAMILY,FOR_SALE,-1,0.79,9.52
442 Mattingly Dr LOT 79,37042,Clarksville,TN,264800,17220,15.37746806039489,3,2,1176,SINGLE_FAMILY,FOR_SALE,-1,1.22,14.64
916 Glenhurst Way,37040,Clarksville,TN,506700,32940,15.382513661202186,4,3,3032,SINGLE_FAMILY,FOR_SALE,-1,0.91,10.86
197 Dorchester Cir,37043,Clarksville,TN,408000,26388,15.461573442473851,4,2,2136,SINGLE_FAMILY,FOR_SALE,-1,1.03,12.35
503 Ginkgo Dr,37042,Clarksville,TN,223800,14400,15.541666666666666,3,1,1323,SINGLE_FAMILY,FOR_SALE,-1,0.91,10.88
57 Cherry Rd LOT 57,37042,Clarksville,TN,334900,21540,15.547818012999072,3,3,1693,SINGLE_FAMILY,FOR_SALE,-1,1.06,12.72
2570 Alex Overlook Way,37043,Clarksville,TN,422800,27000,15.65925925925926,4,2,2308,SINGLE_FAMILY,FOR_SALE,-1,0.97,11.7
981 Roedeer Dr,37042,Clarksville,TN,290900,18576,15.659991386735573,3,3,1528,SINGLE_FAMILY,FOR_SALE,-1,1.01,12.16
125 Darby Dr,37042,Clarksville,TN,421600,26916,15.663545846336751,5,3,2877,SINGLE_FAMILY,FOR_SALE,-1,0.78,9.36
1009 Garner Hills Dr,37042,Clarksville,TN,463200,29532,15.684681023973994,5,3,2850,SINGLE_FAMILY,FOR_SALE,-1,0.86,10.36
2515 Ashland City Rd,37043,Clarksville,TN,367900,23388,15.73028903711305,3,3,1879,SINGLE_FAMILY,FOR_SALE,-1,1.04,12.45
1184 Governors Run,37042,Clarksville,TN,359000,22716,15.803838703997183,3,3,2050,SINGLE_FAMILY,FOR_SALE,-1,0.92,11.08
2147 Whitfield Rd,37040,Clarksville,TN,290600,18384,15.807223672758921,4,3,1959,SINGLE_FAMILY,FOR_SALE,-1,0.78,9.38
125 Lawn St,37040,Clarksville,TN,372300,23544,15.812945973496433,3,2,2167,SINGLE_FAMILY,FOR_SALE,-1,0.91,10.86
46 Hillsboro Rd,37042,Clarksville,TN,305800,19272,15.867579908675799,3,2,1792,SINGLE_FAMILY,FOR_SALE,-1,0.9,10.75
3196 Porter Hills Dr,37043,Clarksville,TN,615900,38796,15.87534797401794,5,4,3144,SINGLE_FAMILY,FOR_SALE,-1,1.03,12.34
